Statistic Label,Year,Commodity Group,Countries and Territories,UNIT,VALUE,Commodity Name,Code,Category,Country Code
Value of Imports,2015,Meat and meat preparations (01),Turkey,Euro Thousand,-1.0,Meat and meat preparations,1.0,Food & Beverages,TUR
Value of Imports,2015,Meat and meat preparations (01),Taiwan,Euro Thousand,-1.0,Meat and meat preparations,1.0,Food & Beverages,TWN
Value of Imports,2015,Meat and meat preparations (01),USA,Euro Thousand,850.0,Meat and meat preparations,1.0,Food & Beverages,USA
Value of Imports,2015,Meat and meat preparations (01),Great Britain,Euro Thousand,393414.0,Meat and meat preparations,1.0,Food & Beverages,GBR
Value of Imports,2015,Meat and meat preparations (01),Northern Ireland,Euro Thousand,64558.0,Meat and meat preparations,1.0,Food & Beverages,GBR
Value of Imports,2015,Meat and meat preparations (01),South Africa,Euro Thousand,-1.0,Meat and meat preparations,1.0,Food & Beverages,ZAF
Value of Imports,2015,Meat and meat preparations (01),EU country not specified,Euro Thousand,6112.0,Meat and meat preparations,1.0,Food & Beverages,UNK
Value of Imports,2015,Meat and meat preparations (01),Other countries,Euro Thousand,1830.0,Meat and meat preparations,1.0,Food & Beverages,UNK
Value of Imports,2015,Dairy products and birds eggs (02),Austria,Euro Thousand,2180.0,Dairy products and birds eggs,2.0,Food & Beverages,AUT
Value of Imports,2015,Dairy products and birds eggs (02),Australia,Euro Thousand,0.0,Dairy products and birds eggs,2.0,Food & Beverages,AUS
Value of Imports,2015,Dairy products and birds eggs (02),Belgium,Euro Thousand,12896.0,Dairy products and birds eggs,2.0,Food & Beverages,BEL
Value of Imports,2015,Dairy products and birds eggs (02),Bulgaria,Euro Thousand,658.0,Dairy products and birds eggs,2.0,Food & Beverages,BGR
Value of Imports,2015,Dairy products and birds eggs (02),Brazil,Euro Thousand,23.0,Dairy products and birds eggs,2.0,Food & Beverages,BRA
Value of Imports,2015,Dairy products and birds eggs (02),Canada,Euro Thousand,84.0,Dairy products and birds eggs,2.0,Food & Beverages,CAN
Value of Imports,2015,Dairy products and birds eggs (02),Switzerland,Euro Thousand,148.0,Dairy products and birds eggs,2.0,Food & Beverages,CHE
Value of Imports,2015,Dairy products and birds eggs (02),China,Euro Thousand,0.0,Dairy products and birds eggs,2.0,Food & Beverages,CHN
Value of Imports,2015,Dairy products and birds eggs (02),Cyprus,Euro Thousand,237.0,Dairy products and birds eggs,2.0,Food & Beverages,CYP
Value of Imports,2015,Dairy products and birds eggs (02),Czech Republic,Euro Thousand,16.0,Dairy products and birds eggs,2.0,Food & Beverages,CZE
Value of Imports,2015,Dairy products and birds eggs (02),Germany,Euro Thousand,67039.0,Dairy products and birds eggs,2.0,Food & Beverages,DEU
Value of Imports,2015,Dairy products and birds eggs (02),Denmark,Euro Thousand,21147.0,Dairy products and birds eggs,2.0,Food & Beverages,DNK
Value of Imports,2015,Dairy products and birds eggs (02),Estonia,Euro Thousand,50.0,Dairy products and birds eggs,2.0,Food & Beverages,EST
Value of Imports,2015,Dairy products and birds eggs (02),Spain,Euro Thousand,1845.0,Dairy products and birds eggs,2.0,Food & Beverages,ESP
Value of Imports,2015,Dairy products and birds eggs (02),Finland,Euro Thousand,6685.0,Dairy products and birds eggs,2.0,Food & Beverages,FIN
Value of Imports,2015,Dairy products and birds eggs (02),France,Euro Thousand,44817.0,Dairy products and birds eggs,2.0,Food & Beverages,FRA
Value of Imports,2015,Dairy products and birds eggs (02),Greece,Euro Thousand,2343.0,Dairy products and birds eggs,2.0,Food & Beverages,GRC
Value of Imports,2015,Dairy products and birds eggs (02),Croatia,Euro Thousand,-1.0,Dairy products and birds eggs,2.0,Food & Beverages,HRV
Value of Imports,2015,Dairy products and birds eggs (02),Hungary,Euro Thousand,324.0,Dairy products and birds eggs,2.0,Food & Beverages,HUN
Value of Imports,2015,Dairy products and birds eggs (02),India,Euro Thousand,0.0,Dairy products and birds eggs,2.0,Food & Beverages,IND
Value of Imports,2015,Dairy products and birds eggs (02),Italy,Euro Thousand,13696.0,Dairy products and birds eggs,2.0,Food & Beverages,ITA
Value of Imports,2015,Dairy products and birds eggs (02),Japan,Euro Thousand,6.0,Dairy products and birds eggs,2.0,Food & Beverages,JPN
Value of Imports,2015,Dairy products and birds eggs (02),South Korea,Euro Thousand,0.0,Dairy products and birds eggs,2.0,Food & Beverages,KOR
